Lychakyvsky,Galyckiy,Zaliznichny,Frankivsky,Sykhivsky,Shevchenkivsky,Size,Rooms,Price
1,0,0,0,0,0,55,2,9000
1,0,0,0,0,0,35,1,4000
0,1,0,0,0,0,52,2,2250
0,0,1,0,0,0,30,1,3500
1,0,0,0,0,0,152,5,12000
1,0,0,0,0,0,47,1,6750
0,0,1,0,0,0,90,3,8250
0,1,0,0,0,0,65,2,7500
0,0,0,1,0,0,130,3,1300
0,0,0,1,0,0,50,2,5250
1,0,0,0,0,0,130,3,24000
1,0,0,0,0,0,80,2,12000
0,0,0,0,1,0,62,2,6000
1,0,0,0,0,0,40,1,4000
1,0,0,0,0,0,55,1,7000
0,0,0,0,0,1,62,2,5000
0,0,0,0,0,1,70,2,11250
0,0,0,1,0,0,125,3,1300
0,1,0,0,0,0,58,2,7500
0,1,0,0,0,0,93,2,7500
0,1,0,0,0,0,55,2,4400
0,1,0,0,0,0,56,2,3500
1,0,0,0,0,0,70,2,12000
0,0,0,0,0,1,48,2,3300
0,0,0,0,1,0,70,2,10500
0,0,0,0,0,1,38,1,5000
0,0,0,0,0,1,37,1,5000
0,0,0,0,0,1,68,3,3500
1,0,0,0,0,0,60,2,4500
1,0,0,0,0,0,55,2,4500
0,0,0,0,0,1,60,2,5000
0,1,0,0,0,0,40,1,3500
0,0,0,1,0,0,56,2,4500
0,1,0,0,0,0,50,2,3000
0,0,0,1,0,0,42,1,3500
0,0,0,0,0,1,70,2,6000
0,0,0,0,0,1,55,2,6500
0,1,0,0,0,0,65,2,8000
0,0,0,0,1,0,70,3,4500
1,0,0,0,0,0,65,2,4500
1,0,0,0,0,0,55,2,3500
0,0,1,0,0,0,62,2,4000
0,1,0,0,0,0,55,2,3000
0,0,0,1,0,0,125,5,6000
0,0,0,0,1,0,47,2,3200
0,0,0,1,0,0,40,1,5000
1,0,0,0,0,0,99,3,10000
1,0,0,0,0,0,38,1,2000
0,1,0,0,0,0,30,1,3800
0,0,0,0,0,1,128,4,15000
0,1,0,0,0,0,22,1,4000
1,0,0,0,0,0,75,3,4800
1,0,0,0,0,0,45,2,6000
1,0,0,0,0,0,96,3,6400
0,1,0,0,0,0,120,3,10000
0,1,0,0,0,0,71,3,6500
1,0,0,0,0,0,48,2,5000
0,0,0,1,0,0,180,5,16000
0,0,0,1,0,0,37,1,5000
0,0,0,1,0,0,45,2,3500
0,0,0,0,0,1,40,1,2500
0,0,0,0,0,1,50,1,2000
0,0,0,0,0,1,40,1,4000
0,1,0,0,0,0,60,1,7000
0,0,1,0,0,0,71,2,5500
0,1,0,0,0,0,70,3,8000
0,0,0,0,1,0,70,2,7500
0,0,1,0,0,0,71,2,5500
0,0,1,0,0,0,71,2,5500
0,1,0,0,0,0,30,1,3400
0,1,0,0,0,0,30,1,6000
0,1,0,0,0,0,30,1,4000
1,0,0,0,0,0,85,2,14000
0,0,0,0,0,1,60,4,3600
0,0,1,0,0,0,80,3,4400
0,1,0,0,0,0,97,2,12000
0,1,0,0,0,0,55,3,3000
0,0,0,1,0,0,42,2,2900
0,0,1,0,0,0,50,2,3800
0,0,0,1,0,0,57,2,6400
1,0,0,0,0,0,85,3,7000
0,0,1,0,0,0,115,3,4400
0,1,0,0,0,0,30,1,6500
0,0,1,0,0,0,40,2,2300
0,0,0,1,0,0,29,1,2000
0,0,0,0,0,1,30,1,1900
0,1,0,0,0,0,89,3,5600
0,1,0,0,0,0,95,3,12000
0,0,1,0,0,0,70,2,7500
0,1,0,0,0,0,93,3,6000
0,1,0,0,0,0,33,2,4500
1,0,0,0,0,0,37,1,5000
0,1,0,0,0,0,75,2,7000
1,0,0,0,0,0,55,1,7500
0,0,0,1,0,0,35,1,2500
